role,id,user,query,duration_s,channels,samplerate,peak,rms,dc,body_over_glare_dB,decay_to_-20dB_s,peak_at_s,steadiness_cv,loop_seam_dB,bytes
settle,119797,"lmbubec","sugar pour",1.1,2,48000,0.0967,0.01966,0,8.97,0.54,0.44,0.087,9,21696
settle,158466,"SoundCollectah","sand falling",0.837,2,48000,0.7607,0.03133,-0.00001,10.42,0.05,0,1.212,9,21811
settle,232130,"Werra","powder",2.803,2,48000,0.962,0.04924,-0.00054,10.56,0.165,0.64,1.952,23.79,57446
settle,235278,"Godowan","seeds pour",1.418,2,48000,0.1893,0.00987,0,-26.31,0.025,0.045,1.312,9,28560
settle,235279,"Godowan","seeds pour",2.127,2,48000,0.3557,0.0135,0,-38.27,0.04,0.07,1.729,51.75,41520
settle,235600,"tcrocker68","powder",1.902,2,48000,0.0134,0.00268,-0.00005,2.7,0.09,0.23,0.285,3.91,38496
settle,320486,"voho","sand falling",7.744,2,48000,0.5357,0.02757,0,-5.7,0.555,1.15,0.542,7.41,189648
settle,414416,"sonicmower","powder",2.61,1,48000,0.6791,0.02033,0,-7.13,0.02,1.12,0.502,3.64,66900
settle,556974,"lucasfuchs","seeds pour",6.787,2,48000,0.1059,0.00517,0,-6.63,0.27,4.73,0.324,4.49,130008
settle,571997,"SieuAmThanh","powder",2.978,2,48000,0.7561,0.01997,-0.00001,-2.4,0.025,2.55,0.783,4.6,73576
settle,828577,"sszy","seeds pour",2.776,2,48000,0.5957,0.02273,0.00001,4.96,0.02,0.37,0.628,6.75,69600
settle,841852,"Dreadman247","sand falling",0.871,1,48000,0.2496,0.01643,-0.00005,-0.76,0.11,0.325,1.043,9,24768
settle,199325,"martinimeniscus","sand pour",6.473,2,48000,0.1922,0.00386,0,-9.47,0.015,0.67,0.519,2.73,166272
settle,199362,"martinimeniscus","sand pour",7.875,2,48000,0.172,0.00409,0,-6.49,0.045,0.605,0.659,5.81,190080
settle,326300,"Wagna","grain pour",3.529,2,48000,0.2691,0.03711,0,-35.97,1.565,1.47,0.672,1.83,84005
settle,326301,"Wagna","grain pour",2.972,2,48000,0.3014,0.04093,0,-35.72,1.275,1.19,0.6,7.73,71066
settle,326302,"Wagna","grain pour",3.808,2,48000,0.2061,0.03499,0,-35.87,0.495,3.01,0.453,0.33,89745
settle,326303,"Wagna","grain pour",3.808,2,48000,0.251,0.03558,0,-35.66,0.585,3,0.477,1.94,89955
settle,326304,"Wagna","grain pour",4.458,2,48000,0.22,0.03226,0,-35.59,2.955,1.105,0.515,1.57,104669
settle,464005,"juanforeromusic","rice pour",8,1,48000,0.7484,0.0365,0.0001,-20.29,0.025,4.975,0.844,27.79,217632
settle,569734,"Sheyvan","gravel small",2.085,1,48000,0.3479,0.00645,0,-16.84,0.02,0.58,0.875,0.34,63504
settle,569736,"Sheyvan","gravel small",6.939,1,48000,0.4796,0.00489,0,-6.35,0.015,2.95,0.838,12.47,194256
settle,569738,"Sheyvan","gravel small",2.571,1,48000,0.2119,0.00357,0,-4.93,0.03,0.375,0.517,14.87,77472
settle,569739,"Sheyvan","gravel small",2.148,1,48000,0.176,0.00394,0,-7.34,0.03,0.68,0.762,1.29,65616
settle,569740,"Sheyvan","gravel small",2.5,1,48000,0.108,0.00236,0,-9.89,0.03,0.34,0.623,15.37,73248
settle,569741,"Sheyvan","gravel small",3.667,1,48000,0.2823,0.00422,0,-9.46,0.015,0.725,0.823,30.06,104592
settle,569742,"Sheyvan","gravel small",3.167,1,48000,0.2089,0.00401,0,-9.83,0.035,1.24,0.459,8.18,95184
settle,569744,"Sheyvan","gravel small",2.793,1,48000,0.2043,0.00297,0,-9.63,0.01,0.135,0.868,25.04,75792
settle,569746,"Sheyvan","gravel small",4.549,1,48000,0.2446,0.00351,0,-5.87,0.01,0.305,0.793,25.87,127824
settle,611353,"SieuAmThanh","salt pour",1.339,1,48000,0.2594,0.02651,0,-25.72,0.125,0.415,0.469,9,32717
settle,692101,"Wastefield","grain pour",6.992,1,48000,0.1184,0.01433,0,-25.32,2.14,0.405,0.77,21,147746
settle,778534,"BlondPanda","sand",0.56,2,48000,0.108,0.0168,0.00001,-2.67,0.21,0.06,9,9,15888
settle,778539,"BlondPanda","sand",0.841,2,48000,0.1063,0.01796,0,-7.88,0.415,0.08,0.471,9,22368
settle,778540,"BlondPanda","sand",0.993,2,48000,0.1053,0.01457,0,-0.95,0.22,0.085,0.601,9,26496
settle,778541,"BlondPanda","sand",0.964,2,48000,0.0997,0.01604,-0.00001,-4.66,0.075,0.05,0.232,9,25152
settle,778542,"BlondPanda","sand",1.036,2,48000,0.1026,0.0125,0.00001,-2.78,0.25,0.025,0.414,9,27840
settle,778543,"BlondPanda","sand",0.855,2,48000,0.1088,0.0118,0.00003,-2.62,0.11,0.035,0.313,9,22656
settle,778545,"BlondPanda","sand",0.746,2,48000,0.1097,0.01484,0,-5.96,0.505,0.08,9,9,20160
settle,778546,"BlondPanda","sand",0.891,2,48000,0.1029,0.01289,0,-4.21,0.065,0.045,0.201,9,24096
settle,778549,"BlondPanda","sand",0.803,2,48000,0.1043,0.01627,0,-3.96,0.36,0.25,0.445,9,22224
settle,778550,"BlondPanda","sand",0.838,2,48000,0.0967,0.009,0,-0.97,0.215,0.025,0.458,9,22368
settle,778551,"BlondPanda","sand",0.92,2,48000,0.1098,0.01109,0,-7.48,0.215,0.045,0.117,9,25152
settle,778553,"BlondPanda","sand",0.947,2,48000,0.0936,0.00988,-0.00001,-3.46,0.175,0.03,0.135,9,24864
settle,778555,"BlondPanda","sand",1.013,2,48000,0.1033,0.01108,0,-4.19,0.415,0.21,0.437,9,26400
settle,778559,"BlondPanda","sand",0.87,2,48000,0.1082,0.01168,0.00001,-4.56,0.07,0.04,0.26,9,23328
settle,787857,"Zeinel-2-and-Hope-sounds-3","gravel small",4.085,1,48000,0.5062,0.04929,-0.00007,0.87,1.695,1.145,0.834,10.96,96864
settle,823855,"bassimat","rice pour",7.391,1,48000,0.965,0.05871,-0.00001,-15.06,0.025,0.17,0.249,3.73,226944
shut,142594,"timgormly","drawer close",0.667,2,48000,0.8101,0.08132,-0.00288,12.95,0.105,0.23,9,9,16959
shut,237936,"jankooiker","drawer close",1.904,1,48000,0.4671,0.03685,0,14.31,0.025,1.44,0.934,10.85,46340
shut,276440,"ScaniX","drawer close",4.981,1,48000,0.9846,0.06928,-0.00008,19.83,0.085,4.41,1.282,3.91,112663
shut,322397,"Glitchedtones","drawer close",2.504,2,48000,0.5979,0.01525,0,16.94,0.03,1.21,1.018,3.44,61473
shut,331427,"supersnd","lid close",0.48,1,48000,0.806,0.03294,-0.00003,-5.45,0.02,0.15,9,9,13829
shut,382659,"bbrocer","cabinet close",0.834,1,48000,1.0574,0.0468,0,3.64,0.09,0.38,1.3,9,22231
shut,382665,"bbrocer","cabinet close",3.4,1,48000,0.9891,0.03993,-0.00001,10.67,0.105,2.63,1.4,19.85,81711
shut,382666,"bbrocer","cabinet close",4.436,1,48000,0.9645,0.04999,0,25.6,0.11,3.315,1.868,1.92,105136
shut,426766,"cMilan","cabinet close",1.852,2,48000,1,0.2258,-0.00126,13.49,0.195,0.375,0.858,21.35,35952
shut,444415,"MTJohnson","drawer close",2.372,2,48000,0.2252,0.00534,-0.00001,4.55,0.045,1.24,1.191,22.78,45312
shut,448392,"LordForklift","lid close",1.584,1,48000,1.0019,0.04829,0,-5.29,0.17,0.72,1.376,9.55,38405
shut,452209,"kyles","cabinet close",3.536,2,48000,0.5417,0.01274,0,6.32,0.06,0.58,1.212,29.86,88656
shut,452210,"kyles","cabinet close",4.53,2,48000,0.3422,0.01318,-0.00002,8.13,0.055,0.06,1.971,30.77,108480
shut,452211,"kyles","cabinet close",5.335,2,48000,0.8014,0.03564,-0.00001,9.49,0.05,0.435,1.597,22.43,129600
shut,452221,"kyles","drawer close",0.547,2,48000,0.7052,0.04754,0,11.47,0.04,0.07,9,9,15312
shut,452613,"kyles","drawer close",7.591,1,48000,0.6733,0.03189,0,16.52,0.045,2.625,1.401,3.53,180336
shut,452615,"kyles","drawer close",2.753,1,48000,0.4769,0.0303,0.00001,20,0.04,2.495,0.644,4.97,67152
shut,452620,"kyles","cabinet close",1.311,2,48000,0.7158,0.05251,0.00002,9.61,0.185,0.195,1.269,9,23856
shut,489715,"ShadowSilhouette","cabinet close",1.002,1,48000,0.2609,0.00756,0.00008,13.13,0.04,0.315,1.191,9,26400
